skill_label,description
analyse ICT technical proposals,"Compare and assess technical requirements of an ICT product, service or solution in terms of quality, costs and compliance to specifications"
manage patients with acute illnesses,Manage patients of all age groups with acute and urgent illnesses or injuries such as episodic undifferentiated physical and behavioural symptoms or disorders.
design optical prototypes,Design and develop prototypes of optical products and components using technical drawing software.
use doctor blade,Use a doctor blade to remove excess ink during printing and coating processes.
forecast energy prices,Analyse the energy market and external factors which may influence trends in the energy market in order to predict the movement of prices for energy and utility consumption.
maintain relationship with suppliers,"Build a lasting and meaningful relationship with suppliers and service providers in order to establish a positive, profitable and enduring collaboration, co-operation and contract negotiation."
printing materials,"The materials, such as paper, film, metal foils, and glass, on which texts or designs can be transferred by applying ink through direct pressure or with intermediate rollers."
evacuate people from flooded areas,"Evacuate people from areas heavily affected by floods and flood damage, and ensure they reach a safe place where they have access to medical treatment if necessary."
install cable TV services,Ensure that home or offices are properly wired to receive cable TV.
coordinate sale of video and motion picture production products,"Coordinate the selling of movies and television series on different media such as DVD, BluRay, in cinema theatres, and others so they reach the target audience."
document museum collection,"Registrars are concerned with documentation and record keeping of museum collections. Documentation includes information about an object's condition, provenance, materials, and all of its movements within the museum or out on loan."
enlarge negatives,Place negatives under an enlarger so they can be printed on photographic paper.
manage gaming cash desk,To ensure compliance with company operating procedures and relevant legislation for cash desk activities.To apply the mandatory policies on anti money laundering and other financial frauds and actively control debt management and recovery within agreed parameters
think proactively to secure sales,Convince potential customers to purchase vehicle and proactively sell them optional products such as seat protection.
perceive the context,"Use situations and contexts to more fully grasp the meaning of what is said. Understanding the people involved and the situation, such as mood and setting, will allow for a more accurate interpretation because the interpreter will therefore be acquainted with the position of the speaker."
create game testing software,"Be able to develop software to test and evaluate online and land-based gambling, betting and lottery games."
Common Lisp,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Common Lisp."
administer debtor's assets,Manage the property owned by a debtor in the case of bankruptcy and exert the power of disposition if necessary.
assist with emergencies,Take immediate action when an accident or medical emergency happens on-board. Identify the injuries and alert medical emergency staff. Seek to prevent further harm.
design floor,"Plan a floor to be created from different types of materials, like wood, stone or carpet. Take into account the intended use, space, durability, sound, temperature and moisture concerns, environmental properties and aesthetics."
synthetic fertilisers,"The description and chemical composition of synthetic fertilisers such as phosphatic, nitrogen and potassium fertilisers."
maintain microelectromechanical systems,"Diagnose and detect malfunctions in microelectromechanical systems (MEMS) and remove, replace, or repair these components when necessary. Execute preventative equipment maintenance tasks, such as storing the components in clean, dust-free, and non-humid spaces."
animal biology,"The structure, evolution and classification of animals and how they interact with their ecosystems."
maintain terrazzo,"Treat old terrazzo replacing missing granules or mosaics, using chemicals to obtain the desired colour, sanding and polishing to give the surface a new lustrous look."
agricultural equipment,"The offered agricultural machinery and equipment products, their functionalities, properties and legal and regulatory requirements."
prepare desserts,"Cook, bake, decorate and present hot and cold savoury and sweet pastry products, desserts and puddings."
anchors used in inland water transport,Name and recognise different types of anchors used in inland water transport (IWT); explain the characteristics of different anchors and their specific uses.
blanching machine process,"Machines which heat food with steam or water in order to kill bacteria, preserve colour and remove trapped air."
induce spawning of cultured aquaculture species,"Induce spawning using appropriate techniques for specific cultured species of fish, molluscs, crustaceans or others. Determine sexual maturity of broodstock, using appropriate techniques as indicated for cultured species of fish, molluscs and crustaceans. Control broodstock sexual cycle. Use hormones to induce reproduction."
ceramics glazes,"The characteristics, compounds and application of different glaze type such as raw or frit glazes."
examine trusts,"Examine documents relating to relationships between settlors and trustees in which the trustee holds property for the beneficiaries of the trust, in order to ensure the property is properly controlled and the contract agreements are complied with."
maintain wood board machinery,"Handle various machinery and equipment used to join wood together to create wooden or cork boards, to ensure that it is clean and in safe, working order. Perform routine maintenance on equipment and adjust when necessary, using hand and power tools."
attach clock hands,"Attach the hour, minute, and second clock or watch hands to the clockface using hex nuts and wrenches. Ensure that the hands on the clockface are parallel and aligned."
analyse route possibilities in pipeline projects,"Analyse sufficient route possibilities for developing pipeline projects. Ensure that crucial elements such as environment, the features of a location, purpose, and other elements are considered. Analyse the best route possibilities while attempting to maintain a balance between budget and quality."
eating disorders,"The various types, pathophysiology and psychology of eating disorders such as anorexia, bulimia, binge-eating disorders and how they can be treated."
nibbling machine parts,"The various parts, their characteristics and applications of machinery designed for nibbling processes, such as a punch, a die, a die locking boss, a slider, a shaft, a nose cap, and others."
manage logistics according to the desired work,"Adapt to the environment - especially in an urban one - and adapt the production processes to the contingencies and constraints of the medium. Work with walls, concrete, walkway, pebbledash, glass, sheetmetal, plastic and other materials. Take into account the height of the artistic intervention (trains, traffic or ad signs, chimney, etc.)."
perform small vessel safety procedures,"Implement emergency measures of health care to sick and injured on board, according to established procedures to minimise potential injuries or illnesses."
eliminate stains,Use stain removal equipment to remove stains without damaging the fabric. Carry out garment and stain detection to identify the specific staining type such as wet or dry side staining in a safe and appropriate manner.
estimate restoration costs,Estimate the cost implications of restoring and replacing products or parts.
assess health services within the community,Assess the effectiveness and efficiency of health services for the community with a view to its improvement.
empathise with the healthcare user,"Understand the background of clients` and patients’ symptoms, difficulties and behaviour. Be empathetic about their issues; showing respect and reinforcing their autonomy, self-esteem and independence. Demonstrate a concern for their welfare and handle according to the personal boundaries, sensitivities, cultural differences and preferences of the client and patient in mind."
monitor oil rig costs,"Monitor total costs of mining activities, projects and required equipment; pursue maximum operational cost efficiency."
leather goods components,The various procedures and methods in the processing of leather materials and leather goods components like manufacturability and properties.  
create 3D CAD footwear prototypes,"Be able to read and understand visual elements and technical design specifications from hand-made or computer-made sketches, pictures and drawings. Digitise or scan the lasts. Create the design upon the shape of the lasts according to dimensional requirements of the customer. Perform 3D footwear modelling by using various functionalities of the CAD software such as producing, manipulating and testing virtual images for computer aided 3D artistic and technical design of footwear. Produce alternative designs and develop virtual models and collection lines. Make presentation boards and catalogues."
suspend animals,Suspend animals for food processing and move the carcasses around the slaughterhouse on an animal processing line.
micromechatronic engineering,Cross-disciplinary engineering which focuses on the miniaturisation of mechatronic systems.
manage airport development resources,"Direct allocated resources for the design and further development of airport property and facilities; control the costs, quality and timeliness of important projects for airport improvement."
research passenger needs,Conduct research and investigations in order to identify and classify the needs and desires of passengers; enhance non-aviation related revenues from restaurant and retail offerings in the airport.
ICT security standards,The standards regarding ICT security such as ISO and the techniques required to ensure compliance of the organisation with them.
develop a repertoire for music therapy sessions,"Develop and maintain a repertoire of music for music therapy according to age, culture and stylistic differences."
prepare egg products for use in a dish,"Make egg products for use in a dish by cleaning, cutting or using other methods."
advise on prenatal diagnosis for genetic diseases,"Advise patients on reproductive options, including prenatal diagnosis or pre-implantation genetic diagnosis, and direct patients and their families to additional sources of advice and support."
rescue animals,Rescue animals found in situations which present an immediate or potential threat to their welfare.'
criminology,"The study of criminal behaviour, such as its causes and nature, its consequences, and control and prevention methods."
keep records on sales,"Keep records the activities of the sales of products and services, tracking which products and services were sold when and maintaining customer records as well as possible, in order to facilitate improvements in the sales department."
modify textile designs,Edit sketches and digital textile designs until they meet up with customers' requirements.
TypeScript,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in TypeScript."
test the rail-flaw-detection machine,Perform tests of the rail-flaw-detection machine using circuit testers.
opinion poll,"The inquiry of the opinion of the public, or at least of a representative sample, about a determined subject."
position glass on trays,Position the glass on the specific kiln trays using the tongs.
act as contact person during equipment incident,Act as the person to be contacted when an equipment incident occurs. Participate in the investigation by providing insights.
operate precision measuring equipment,"Measure the size of a processed part when checking and marking it to check if it is up to standard by use of two and three dimensional precision measuring equipment such as a caliper, a micrometer, and a measuring gauge."
maintain a production book,Maintain an artistic production book and produce final script for archive purposes.
undertake clinical chiropractic research,"Undertake research activities such as research papers, critical reviews, case studies, editorials, expert commentaries and book reviews in order to improve the evidence base for chiropractic and assist chiropractors in the management of their patients."
traditional Chinese medicine,"Theories of traditional Chinese medical practices that put emphasis on various mind and body practices, as well as herbal medicine to treat or prevent various health problems."
Sanskrit,The Sanskrit language.
operate a heat treatment process,Apply heat treatment aimed at preparing and preserving half-finished or finished food products.
examine sample garments,Examine sample garments; alter designs of sample garments.
develop a choreographic work,Draw on your imagination to develop new choreographic work. Identify one or several key ideas and develop them. Generate artistic content and create movement sequences. Orchestrate the components of the work and finalise it.
develop mechatronic test procedures,"Develop testing protocols to enable a variety of analyses of mechatronic systems, products, and components."
tend bleacher,"Add the required amount of bleaching substances and additives and operate the bleaching part of the paper machine, which bleaches the pulp with liquid and solid chemicals, removing any remaining lignin and other impurities."
bind fibreglass filaments,Bring extruded fibreglass filaments together to bind them into single strands after the binding solution has been applied and pull them through a carbon-graphite shoe that will guide and gather the individual glass filaments to form the fibreglass strands.
apply aromatherapy,"Use the therapeutic benefits of essential oils to produce massage blends, cream or lotions and help improve the physical and emotional health and well-being."
rainwater management,"The characteristics of water sensitive urban design methods such as wet basins, dry basins, drainage and surface infiltration."
automatic cutting systems for footwear and leather goods,"The use and description of automatic systems technologies used in footwear and leather goods industry such as laser cutting, knife cutting, punch cutting, mill cutting, ultra-sound cutting, water jet cutting and the cutting machinery such as swing beam cutting presses, traveling head die cutting presses or strap cutting machines."
attend music recording sessions,Attend recording sessions in order to make changes or adaptations to the musical score.
conduct podiatry consultation,"Asses the condition of the patient`s feet by cutting his/hers toenails, removing any hard skin and checking for corns, calluses or verrucas and decide on a diagnosis."
oil seed process,"Oil seed process from cleaning the oil bearing seed, decorticating the seed, crushing, conditioning and heating, to filtering and neutralising."
drill holes in tile,Use a special carbide tipped drill bit to cut holes in tile. Apply masking tape or another appropriate covering material to protect against chipping and to keep the drill bit from slipping. Mark the spot and nick it slightly with a punch. Apply medium pressure to the drill to prevent chipping or breaking.
investigate customer complaints,Investigate customer complaints in order to determine the non-satisfactory elements in food products that lead to complaints from customers.
keep up-to-date to computer trends,"Stay aware of the current developments and trends in computer hardware, software and peripherals."
schedule regular machine maintenance,"Schedule and perform regular maintenance, cleaning, and repairs of all equipment. Order necessary machine parts and upgrade equipment when necessary to ensure optimal performance."
perform data cleansing,"Detect and correct corrupt records from data sets, ensure that the data become and remain structured according to guidelines."
develop tourism destinations,Create tourism packages by discovering destinations and places of interest in cooperation with local stakeholders.
CAD for garment manufacturing,Softwares of computer aided design for garment manufacturing which allow create 2 or 3 dimensional drawings.
repair patterns,Repair and rework various kinds of templates and patterns in manufacturing processes.
health and safety regulations,"Necessary health, safety, hygiene and environmental standards and legislation rules in the sector of particular activity."
operate computerised control systems,"Operate electronic or computerised control panels to monitor and optimise processes, and to control process start-up and shut-downs. Monitor and inspect equipment and systems to detect malfunctions."
provide humanitarian aid,"Provide first-hand aid in dangerous or critical areas to the civilian population, such as handing out food and water, medical resources, setting up aid facilities, evacuation procedures, and ensuring the area's security."
types of forging press,"Types of presses used in the metal forging process, such as hydraulic and mechanical forging presses."
match product moulds,Changing moulds to match product specification. Run test samples and check for proper specifications.
manage resources in food manufacturing,Managing resources to ensure sufficient and appropriate trained staff to ensure consistent performance.
prepare livestock for artificial insemination,Correctly identify stock to be inseminated. Move stock to an appropriate area to be inseminated. Ensure that the work environment is suitable for the safe handling of animals and protection of operators.
perform nuclear medicine procedures,Undertake nuclear medicine procedures such as the diagnosis and treatment of the patient. Use appropriate imaging and treatment procedures.
language teaching methods,"The techniques used to teach students a foreign language, such as audio-lingual, communicative language teaching (CLT), and immersion."
operate heavy construction machinery without supervision,Work with heavy construction machinery independently without the intervention of a supervisor. Take responsibility for your decisions and actions.
implement ICT network diagnostic tools,"Use software tools or components that monitor ICT network parameters, such as performance and throughput, provide data and statistics, diagnose errors, failures or bottlenecks and support decision making."
perform maintenance on installed equipment,Perform the maintenance on installed equipment on-site. Follow procedures to avoid uninstalling equipment from machinery or vehicles.
report on overall management of a business,"Prepare and present periodic reports on the operations, achievements, and results obtained during certain period to higher level managers and directors."
follow control of substances hazardous to health procedures,"Adhere to the Control of Substances Hazardous to Health (COSHH) procedures for activities that involve hazardous substances, such as bacteria, allergens, waste oil, paint or brake fluids that result in illness or injury."
mix multi-track recordings,"Mix recorded sound from several sources using a mix panel, and edit it to obtain the desired mix."
teach first aid principles,"Instruct students in the theory and practice of first aid, more specifically in emergency treatments of minor injuries or illness including respiratory failure, unconsciousness, wounds, bleeding, shock, and poisoning."
test procedures in electricity transmission,"Perform tests on powerlines and cables, as well as other equipment used for the transmission of electrical power, in order to ensure the cables are well insulated, the voltage can be controlled well, and the equipment is compliant with regulations."
compile drinks price lists,Set prices according to needs and preferences of guests.
troubleshoot cosmetics formula issues,"Troubleshoot the unstable formulas, scalling-up issues in order to ensure stability and a high quality end product that conforms to specifications."
make legislation transparent for users of social services,"Inform and explain the legislation for users of social services, in order to help them understand the implications it has on them and how to use it for their interest."
wheel impact load detector,"The wheel impact load detector or WILD, a detector that monitors the impact of railed vehicle wheels on the tracks."
examine merchandise,control items put up for sale are correctly priced and displayed and that they function as advertised.
separate unstable elements in the water,Use the adequate equipment to separate unstable elements in water such as iron and sulphur compounds by filtration or decanting.
identify education needs,"Identify the needs of students, organisations and companies in terms of provision of education in order to aid in the development of curricula and education policies."
present menus,Hand out menus to guests while assisting guests with questions using your mastery of the menu.
consult with design team,"Discuss the project and design concepts with the design team, finalise proposals and present these to stakeholders."
prepare films for printing plates,Place the photographic materials coated with a light-sensitive substance on the printing plate in such a way that will limit waste and facilitate printing processes. Place the plates in the machine for the different exposure and curing processes.
operate mechanical equipment of ships,Operate mechanical equipment on vessels; communicate with engineers if failures occur or should repairs be required during a voyage.
pack charcoal,Pack the granulated charcoal on to the facets of the filter press.
beverages filtration processes,"Safe and economic method for removing impurities from food products and extending its shelf life. Importance of contamination control and how it contributes to superior quality product, a significant reduction of waste and a minimum of product spoilage."
implement quality management systems,Implement quality systems and procedures such as ISO systems.
study ancient inscriptions,"Interpret, research and investigate ancient insciptions on stone, marble or wood such as Egyptian hieroglyphs."
tend winding machines,"Set up, operate, and maintain winding machines to wrap yarns or strings of all kinds onto spools, reels, and bobbins."
monitor surveillance equipment,Monitor the operation of equipment used in surveillance and gathering of intelligence to ensure it functions properly and to gather the surveillance information detected by it.
maintain students' discipline,Make sure students follow the rules and code of behaviour established in the school and take the appropriate measures in case of violation or misbehaviour.
design flying movements,Design flying movements for artists in a live performance.
carry out an autopsy,"Open the deceased person`s body and remove the organs for examination, interpreting the findings in the context of the clinical history."
apply navy operation procedures,"Apply the procedures involved in naval operations on base or during missions on ships, ensuring that operations are compliant with naval regulations."
manage information in health care,"Retrieve, apply and share information among patients and healthcare professionals and across healthcare facilities and community."
maintain diving equipment,"Perform maintenance actions, including small repairs, on diving equipment."
monitor machine operations,Observing machine operations and evaluating product quality thereby ensuring conformity to standards.
maritime telecommunications,"Knowledge of transmission, broadcasting equipment and overall operation of telecommunications systems."
transfer oil,Prepare specific volumes of refined and unrefined materials for storage; transfer materials that require further processing.
supervise forestry workers,Supervise and coordinate the staff that works in the forestry areas.
estimate value of used jewellery and watches,"Assess used metal (gold, silver) and gems (diamonds, emeralds) based on age and current market rates."
work with a voice coach,"Receive advice and training from a voice coach. Learn how to use one’s voice correctly, how to properly pronounce and articulate words, and use the right intonation. Get trained in breathing techniques."
set scanner controls,"Use a mouse, keyboard or other controls to set up the scanner precisely."
sport games rules,"The rules and regulations of sport games such as football, soccer, tennis, and others."
use gardening equipment,"Use gardening equipment such as clippers, sprayers, mowers, chainsaws, complying to health and safety regulations."
manage studio resourcing,"This encloses all aspects of studio resourcing, such as the management of the creative staff and monitoring the workload in order to ensure the appropriate staffing levels are maintained."
cut glass,"Use glass cutting tools or diamond blades to cut pieces out of glass plates, including mirrors."
position patients undergoing interventions,Position or immobilise patients correctly for safe and effective interventions.
crime victims' needs,"Set of needs required to protect victims of crimes such as respectful treatment, legal recognition, protection from harm during court or criminal investigations, psychological assistance, access to justice and compensation."
pest management techniques,"Techniques and measures used to prevent unwanted pests in houses, buildings and their surroundings by preventing access or by deploying other techniques such as wood protection and bird management devices."
recognize cytologic abnormalities,"Identify cytologic abnormal cases such as infectious agents, inflammatory processes and precancerous lesions in gynecologic and non-gynecologic specimens."
perform loading and unloading operations,"Load and unload materials from containers, manually or using appropriate tools. Load hoppers, containers, or conveyors to feed machines with products, using tools such as forklifts, transfer augers, suction gates, shovels, or pitchforks."
lawn care,"Procedures, equipment and products used to maintain the cleanliness of lawns and other grass surfaces in parks or residences."
perform image editing,Edit various types of images such as analogue and digital photographs or illustrations.
provide cost benefit analysis reports,"Prepare, compile and communicate reports with broken down cost analysis on the proposal and budget plans of the company. Analyse the financial or social costs and benefits of a project or investment in advance over a given period of time."
shearing of wool,Carry out sheep or goat wool shearing and initial processing and packaging as appropriate
perform clinical neurophysiological examinations,"Perform clinical neurophysiological examinations, an extension of a neurologic consultation, which can verify or exclude a clinical suspicion, but also give precise definition of site, type and degree of lesion and reveal abnormalities that are clinically uncertain, silent or unsuspected."
execute fertilisation,"Carry out fertilisation tasks by hand or using appropriate equipment according to fertilisation instructions taking into account the environmental, health and safety regulations and procedures."
analgesics,The types of medication used to relief pain in various medical cases.
adapt costumes,"Adapt, stitch or sew stage outfits for performing actors."
electrical engineering,"Understand electrical engineering, a field of engineering that deals with the study and application of electricity, electronics, and electromagnetism."
wind sliver strands,Hold the sliver strands coming from the floor above through a floor opening to facilitate the process of winding strands onto tubes.
develop documentation in accordance with legal requirements,"Create professionally written content describing products, applications, components, functions or services in compliance with legal requirements and internal or external standards."
CADD software,The computer-aided design and drafting (CADD) is the use of computer technology for design and design documentation. CAD software replaces manual drafting with an automated process.
negotiate with suppliers for visual material,Negotiate with suppliers on the delivery of visual equipment; stay within the budget at all times.
"sugar, chocolate and sugar confectionery products","The offered sugar, chocolate and sugar confectionery products, their functionalities, properties and legal and regulatory requirements."
clean moulds,"Clean the mould using water, grease or oil, washing and scraping them by hand."
follow up on safety breaches,Ensure that actions intended to reduce threats and improve health and safety are met according to the plan.
evaluate vineyard quality,Help in assessing the vineyard and varietal fruit. Supervise receipt and evaluation of fruit according to quality parameters and specifications.
create ceramic work by hand,"Hand-build a ceramic piece of work without use of the pottery wheel, using only hand tools."
carry out quality control in microbiology laboratories,"Perform quality assurance testing of media, reagents, laboratory instrumentation and other materials used in microbiology laboratory."
apply music therapy assessment methods,Apply specific music therapy procedures and methods for client evaluation and possible preliminary diagnosis.
prepare building permit applications,"Fill in the forms and prepare any additional documentation needed to file an application to receive the construction permit required for erecting, renovating, and modifying buildings."
engage the audience emotionally,"Create an emotional connection with the audience through your performance. Engage the audience with sadness, humour, anger, any other emotion, or a combination thereof, and let them share your experience."
assess risks implied in rigging operations,Assess risks and potential hazards that come with rigging activities.
determine skin type,Determine what type of skin a person has in order to use the right make-up for that particular skin type.
vehicle electrical systems,"Know vehicle electrical systems, including components such as the battery, starter, and alternator. The battery provides energy to the starter. The alternator provides the battery the energy it requires to power the vehicle. Understand the interplay of these components to resolve malfunctions."
install locks,Fit a lock into a compatible door. Install the lock for optimal security.
plan aquaculture cage mooring system,Plan aquaculture cage mooring system for designated aquatic species.
apply air force procedures,Apply the procedures present in a military air force and on a specific base and being compliant with all the regulations and policies.
help grant recipient,Inform the receiver of the grant how to apply for grants.
translate different types of texts,"Comprehend the nature of the type of text to be translated, for example commercial and industrial documentation, personal documents, journalism, novels, creative writing, certificates, government documentation, and scientific texts."
rail disruption management,"Thoroughly understand the conditions, causes, and effects of rail disruption or derailment, and of degraded mode operations including tasks and tools."
set up technical stage equipment,Install mechanical and technical stage equipment. Test the installation to make sure everything is in working order.
identify risks of ship activities,"Identify risks that accompany ship activities, and the effectiveness of the risk assessment and control measures in place on the vessel."
monitor quality of confectionery products,Inspect the quality of confectionery products; ensure optimal hygiene and product quality at all times.
improvise music,Improvise music during live performances.
assemble optoelectronics,"Prepare, construct, and assemble optoelectronic components and systems, such as lasers and imaging systems, using soldering, micro-fabrication, and polishing techniques."
assist with plant propagation,Assist in planting local native plants for revegetation works according to an yearly schedule.
tip latex within industrial processes,Tip the liquid latex from drums to cans and to the machine holding tanks.
maintain waterbased aquaculture facilities,Clean off fouling and maintain floating and submerged aquaculture structures. Repair floating and submerged aquaculture structures. 
maintain foil printing machine,"Maintain the foil printing machine, which punches out disks of waterproof paper, after which they are pressed on loaded primer cups to seal out the moisture."
compile reservoir performance plans,Make up detailed development plans of the performance of the reservoir. Apply mathematical models for maximum economic recovery.
ecological principles,The understanding of how an ecosystem functions and its relationship to environmental planning and design.
film studies,"The theoretical, historical, and critical approaches to films. This includes the narrative, artistic, cultural, economic, and political implications of cinema."
maintain oil field machinery,"Disassemble, repair or replace oil field equipment such as steam engine components or boilers; use power tools and hand tools."
airtight storage,Airtight storage techniques to prevent the entrance or escape of air or gas and to discourage moisture and vermin intrusion.
determine patient's exposure factors,Determine the exposure factors to be used for producing a clear image of the pathology or trauma.
set up office equipment,"Connect office equipment, such as modems, scanners and printers, to the electricity network and perform electrical bonding to avoid dangerous potential differences. Test the installation for proper functioning. Monitor settings and prepare the appliance for usage."
apply wood finishes,"Use a variety of techniques to finish wood. Paint, varnish and stain wood to improve its function, durability, or appearance."
reflect on practice,"Routinely evaluate own practice, critically evaluating and monitoring the practice methods and outcomes in consistent, coherent and appropriate ways, being aware of relevant methodologies and utilising feedback from managers, supervisors, other professionals, and patients/clients, in order to adapt the practice accordingly."
reconstruct modified documents,Decipher and reconstruct the content of modified of partially destroyed documents.
provide security in detention centres,"Ensuring security and to some extent intercultural communication in detention centres holding individuals for crimes, illegal immigration or refugees."
pesticides,Types of chemical characteristics of pesticides and their adverse human and environmental effects.
perform risk analysis,Identify and assess factors that may jeopardise the success of a project or threaten the organisation's functioning. Implement procedures to avoid or minimise their impact.
manage fitness communication,"Ensure proper communication with fitness instructors, medical professionals and keep record of administrative files"
repair household appliances,"Following the manufacturer's blueprints, perform parts replacement or repair of household devices such as stoves, boilers, washing machines, refrigerators and dish washers."
curriculum standards,The governmental policies concerning educational curricula and the approved curricula from specific educational institutions.
manufacturing of metal household articles,"The manufacture of flatware , hollowware , dinnerware and other non-electrical utensils for use at the table or in the kitchen."
provide social counselling,"Assist and guide social service users to resolve personal, social or psychological problems and difficulties."
adjust temperature gauges,Operate temperature gauges to maintain food and drink items at appropriate temperatures.
types of written press,"The various types, ranges, styles and subject matter of the written press such as magazines, journals and newspapers."
develop strategic plans for physiotherapy services,"Contribute to the development of systems, policies and procedures for the provision of physiotherapy services, sharing knowledge and contributing to internal and external learning opportunities."
develop textile colouring recipes,Developing recipes for dyeing and printing processes of textiles.
teach mathematics,"Instruct students in the theory and practice of quantities, structures, shapes, patterns, and geometry."
maintain rotating equipment,"Perform routine maintenance on rotating equipment to ensure that it is clean and in safe, working order."
monitor title procedures,"Monitor the bundle of rights of a property and investigate all the parties involved in the current procedure, such as the transfer of a deed in the transfer of ownership of a property or the provision of all the documents serving as evidence of title, to ensure that all documentation and procedures occur according to legislation and contractual agreements."
use geographic information systems,Work with computer data systems such as Geographic Information Systems (GIS).
advocate for consumer matters in production plants,"Conduct regulatory oversight activities inside plants in matters relating to areas of consumer matters, e.g. misbranding, consumer protection, etc."
wicker materials,"Wicker is woven fiber forming a stiff structure that is used for wicker furniture such as chairs, tables and couches. Various materials can be used for different purposes and aesthetic effects such as willow branches, rattan, cane or bamboo. Sometimes, plastic fibers are used as well."
CryEngine,"The game engine CryEngine which is a software framework that consists of integrated development environments and specialised design tools, designed for the rapid iteration of user-derived computer games."
assist passengers,"Provide help to people getting in and out of their car or any other transportation vehicle, by opening doors, provide physical support or hold belongings."
support implementation of quality management systems,"Advocate the introduction of new business processes to help achieve quality standards, such as the improvement of the organisational structure or the development of new procedures in case of quality defects."
communicate commercial and technical issues in foreign languages,Speak one or more foreign languages in order to communicate commercial and technical issues with various suppliers and clients.
handle linen in stock,Manage laundered items and store them in safe and hygienic conditions.
shunt outbound loads,Shunt outbound freight loads to and from inbound and outbound trains.
speech techniques,"The history and the characteristics of breathing, voice and speaking techniques."
develop data link services for navigation purposes,Develop and implement data link services and satellite technologies for air-ground communication operations.
system backup best practice,The procedures related to preparing for recovery or continuation of technology infrastructure vital to an organisation.
promote service users' rights,"Supporting client`s rights to control his or her life, making informed choices about the services they receive, respecting and, where appropriate, promoting the individual views and wishes of both the client and his or her caregivers."
perform nutrition analysis,Determine and calculate the nutrients of food products from available sources including food labels.
"agricultural raw materials, seeds and animal feed products","The offered agricultural raw materials, seeds and animal feed products, their functionalities, properties and legal and regulatory requirements."
monitor incineration process,"Monitor the procedures involved in the incineration of waste and potential energy recovery from the process, to ensure that it is compliant with health, safety and environmental regulations as well as to ensure efficiency and proper functioning of the incineration equipment."
diagnostic immunology techniques,"The techniques used in diagnosing immunology diseases such as immunofluorescence, fluorescence microscopy, flow cytometry, enzyme linked immunosorbent assay (ELISA), radioimmunoassay (RIA) and analysis of plasma proteins."
use software libraries,Utilise collections of codes and software packages which capture frequently used routines to help programmers simplify their work.
trade securities,"Buy or sell tradable financial products such as equity and debt securities on your own account or on behalf of a private customer, corporate customer or credit institution."
Synfig,The computer program Synfig is a graphical ICT tool which enables digital editing and composition of graphics to generate both 2D raster or 2D vector graphics. It is developed by Robert Quattlebaum.
recommend newspapers to customers,"recommend and provide advice on magazines, books and newspapers to customers, according to their personal interests."
monitor visitor tours,Monitor visitors' touring activities to ensure compliance with legislation and safety practices.
import export regulations of dangerous chemicals,The international and national legal rules for exporting and importing dangerous chemicals.
educate on preventing injuries,Educate and advise patients and their caregivers about how to prevent injuries and conditions and improve existing conditions.
spray slabs,Spray with chemical solution the slabs one by one to prevent sticking and cover them with a layer of canvas sheet.
attend castings,Go to castings in order to promote yourself and show your abilities.
drive in urban areas,"Drive vehicles in urban areas. Interpret and understand transit signs in a city, the regulation of traffic, and the related common automobility agreements in an urban area."
link data between all inland business units,"Link data between all divisions and inland business units - such as harbour docking, ship assist and barge shifting - to inland barge transportation, towing, and launch services."
types of optical instruments,"Possess information on the types of optical instruments and lenses, such as microscopes and telescopes, as well as on their mechanics, components, and characteristics."
plan marketing campaign,"Develop a method to promote a product through different channels, such as television, radio, print and online platforms, social media with the aim to communicate and deliver value to customers."
initiate contact with buyers,Identify buyers of commodities and establish contact.
supervise food in healthcare,"Supervise the food, menus and meals provided in a health care setting to ensure compliance with health safety and hygienic standards."
control pumping operations in petroleum production,Control plant operations and gas and oil pumping equipment. Monitor gauges and monitors and control the equipment to make sure the extraction proceeds efficiently and safely.
footwear uppers pre-assembly,The equipment and techniques used for pre-assembling operations of uppers in the footwear industry.
operate screen printing press,"Operate a screen printing press to fabricate multiple copies of the designed screen, increasing production significantly."
promote social security programmes,Promote government programmes dealing with the provision of aid to individuals in order to gain support for the development and implementation of social security programmes.
monitor treated fish,Monitor treated fish to evaluate the effect of treatments.
check cured rubber,Check the dimensions of cured rubber using the rule.
read articles,Read unpublished articles thoroughly to look for errors.
select event providers,"Evaluate and select the right providers of the right services, according to the customer's specific requirements."
insurance law,"The law and legislation concerning the policies of transferring risks or losses from one party, the insured, to another, the insurer, in exchange for a periodic payment. This includes the regulation of insurance claims and the business of insurance."
tape transcription,The act of translating spoken utterances into written text format.
follow-up lab results,"Analyse lab results and apply them by adapting the production process. Report, review and take appropriate measures if necessary."
personal development,The techniques and methods used to improve awareness and identity and develop talents and potential in human beings.
translate strategy into operation,Render strategic tasks into operative level according to the planned timing to achieve planned results and objectives.
sterilise medical equipment,"Disinfect and clean all medical devices and equipment gathered from operating rooms, wards and other departments of a hospital or clinic and check for bacteria after disinfection using a microscope."
