skill_label,c_layer1,c_layer2,c_layer3
supervise housekeeping operations,1,3,2
calculate costs of repair operations,6,4,4
microwave principles,3,3,1
supervise doctoral students,7,1,3
develop scientific theories,3,2,1
test wind turbine blades,3,5,2
inspect optical supplies,3,3,2
manage advocacy strategies,2,3,1
teach industrial arts principles,7,2,2
riveting machine types,5,4,0
supervise medical office support workers,0,1,2
develop concepts for city marketing,3,5,2
use spreadsheets,4,5,2
wort boiling process,1,0,1
perform classroom management,7,2,1
follow betting strategies,2,3,2
core apples,1,0,1
protect window frames,1,3,0
conduct research interview,2,1,2
advise on social service process,0,0,2
expand store regional presence,2,2,0
advise on healthy lifestyles,0,1,1
employ habitat survey techniques,8,2,1
adapt to new design materials,10,4,1
install scaffolding pump jacks,5,1,4
install wood hardware,5,1,2
prepare case files in relation to animal related investigations,8,3,1
intervene with actions on stage,4,1,1
prepare government funding dossiers,2,0,5
identify learning disorders,7,3,4
set up temporary construction site infrastructure,5,1,3
keep records of passports,2,1,0
construct dams,5,1,1
maintain warehouse database,1,1,0
types of pallets,5,4,3
restore trays,5,0,5
conduct chiropractic examination,0,1,8
provide customer follow-up services,6,1,1
investigation research methods,1,7,2
install foam dams on pinchwelds,5,0,5
cooperate at inter-professional level,0,0,0
advise on machine maintenance,3,0,3
prepare survey report,2,2,3
tend open pans,1,0,3
deck operations,1,2,1
monitor valves,5,0,4
set-up weft knitting machines,9,2,2
manage cash flow,4,4,0
mark lumber,3,5,2
use rental management software,6,1,0
interpret law,2,1,2
operate hot glue gun,5,3,3
prescribe physical therapy to animals,8,3,2
colour ranges of roasting,1,0,0
test mechatronic units,3,3,0
check vehicle damage,6,1,0
coordinate efforts of stakeholders for destination promotion,2,3,4
simulate transport problems,3,5,2
tend textile drying machines,9,2,3
perform scripted dialogue,4,3,1
purchase stage weapons,4,1,2
give instructions to staff,1,5,1
wash gutted fish,6,0,8
skin animals,1,0,4
adhere to organisational guidelines,0,0,3
maintain ship logs,1,2,0
clean vehicle engine,1,1,1
digital camera sensors,3,3,2
apply ICT system usage policies,10,2,2
select apples,1,0,1
monitor developments in field of expertise,7,2,1
develop recycling programs,3,5,1
assist with geophysical surveys,3,5,3
psychological counselling methods,0,3,1
propose leisure activities,2,0,5
obtain financial information,2,4,2
iron textiles,1,3,0
contraindications,0,1,1
tend belt branding machine,5,0,7
negotiate prices for transport of cargo,1,2,1
lay underlayment,5,1,2
assemble truss constructions,4,1,2
"make health, safety and environment assessments",2,3,2
operate shuttle car,5,0,2
microeconomics,2,4,2
analyse financial performance of a company,2,4,2
health informatics,3,4,2
test physical properties of textiles,9,2,0
provide manufacturing documentation,5,4,0
maintain adequate medication storage conditions,6,0,0
provide information on trade-in options,6,0,1
pack timber products,8,2,2
manage different pottery materials,5,0,1
conduct reforestation surveys,8,2,2
animal feed ingredients,1,0,1
conduct gambling games,4,4,0
prepare kiln schedules,5,0,5
perform exercises for artistic performance,7,2,3
design the completion for a well in petroleum production,3,5,0
use handbrake,1,1,4
monitor film development baths,4,5,1
perform soundchecks,4,1,3
process latex mixtures,5,0,4
subsidiary operations,2,3,5
follow strict level crossing operating procedures,1,1,4
"fish, crustacean and mollusc products",6,2,1
draw sketches to develop textile articles,9,2,0
negotiate with social service users,0,0,0
tend canning machine,1,0,3
tend bottle cork machine,1,0,3
advise customers on electronic cigarettes,6,0,0
develop international cooperation strategies,2,0,2
select optimal distribution channel,2,2,1
assess felled timber quality,3,0,3
biosafety in biomedical laboratory,0,1,2
undertake employee screening,2,3,2
perform oil clarification with boiling methods,1,0,3
tourism market,6,4,3
clean chimney,3,0,2
read railway circuit plans,1,1,4
transport patient to medical facility,0,1,4
monitor storage space,5,0,4
apply acupuncture,0,1,1
operate on-board computer systems,1,1,0
operate maritime lifting equipment,1,1,0
feed concrete mixer,5,0,6
manipulate plaster,5,2,1
"relationship between buildings, people and the environment",3,4,3
forecast products' demand,2,3,3
test dental instruments,3,1,0
undertake clinical audit,0,1,1
work in textile manufacturing teams,9,1,1
teach space science,7,1,1
monitor the validity of ship certificates,1,2,1
perform religious rituals,2,0,4
maintain electronic equipment,3,1,1
cartography,3,5,3
develop software prototype,10,3,1
monitor media industry research figures,2,2,2
apply massage oil,0,1,1
prepare samples for testing,3,5,0
general principles of food law,6,2,0
deliver presentations on tourism,7,2,2
prepare site for construction,8,0,2
monitor train schedules,1,1,4
live animal products,6,2,1
write stress analysis reports,3,4,1
semiconductors,3,3,2
inspect asphalt,5,1,3
ICT system programming,10,2,2
supervise entertainment activities for guests,1,3,2
intellectual property law,4,6,2
inspect silo systems,1,4,1
develop jewellery designs,5,2,2
check request legitimacy,2,1,2
surveillance methods,1,7,3
carry out physical training,4,2,3
ensure proper visualisation of the operating site,0,1,2
manage signoff of an installed system,4,1,1
set up drilling rigs,5,1,1
fine arts,7,3,2
read lighting plans,4,1,1
maintain chromotography machinery,3,2,0
pose for artistic creation,4,3,1
translate soundtrack,4,0,1
pour molten metal into cores,5,0,6
study cultures,4,5,2
read books,4,5,2
produce piano components,5,2,3
manage poultry breeding,8,3,3
process reservations,1,3,1
work with the director of photography,4,3,3
ensure the integrity of mail,1,1,1
driver's license structure,1,1,1
prepare screen printing,5,3,2
prepare raw materials,5,0,4
replace cutterhead teeth,5,1,3
design sprinkler systems,3,0,0
analyse information systems,10,0,2
test prosthetic-orthotic devices,0,1,2
betting,2,3,2
apply coating to electrical equipment,3,1,0
aesthetics,3,4,3
fluid mechanics,3,4,0
determine itineraries of bulk trucks,1,1,0
tend milk filling machines,1,0,3
remove filament composite workpiece from mandrel,5,0,3
ensure adherence to the constitution,1,7,2
editorial standards,4,5,2
devise military tactics,1,7,3
bakery production methods,1,0,0
manage different ceramic firing techniques,4,6,0
create a shooting script,4,3,2
types of drums,5,2,3
harvest cover crops,8,0,0
transfer chemicals,3,2,0
enforce company values,6,3,2
insert bristles,5,2,1
operate material handling equipment,1,1,0
prevent undesired changes to sound design,4,1,3
supervise work on design planning,10,4,1
adhere to standard procedures,3,0,3
advise customers on usage of medical products,6,0,0
set up effective working relationships with other sports players,4,4,2
perform minor repairs to equipment,5,1,3
tend plasma cutting machine,5,4,1
perform inspections of food-processing plants,8,3,2
mount photovoltaic panels,5,1,2
government policy implementation,2,0,5
detect drug abuse,1,3,1
machinery load capacity,5,1,3
types of pipelines,3,0,0
lipspeaking,4,0,3
deliver leaflets,1,3,0
participate in editorial meetings,4,5,2
possess visual literacy,1,5,0
report major building repairs,2,4,0
clean aquaculture stock units,8,4,0
captioning software,4,0,1
apply territory planning,6,3,2
road transport legislation,1,1,2
animal transportation vehicles,1,1,5
evaluate clients' progress,7,4,1
apply regulations regarding the sale of alcoholic beverages,6,0,0
prepare sites for planting of grass,8,0,2
application process,7,4,1
remove coating,5,4,1
position guardrails and toeboards,5,1,4
form operational strategies for law enforcement,1,7,2
design principles of containment systems,8,4,2
operate mechanical street sweeping equipment,1,3,0
inspect semiconductor components,3,1,0
develop information standards,10,2,1
manage rainwater,8,0,2
sell weapons,6,0,0
advise on soil and water protection,3,5,1
develop an artistic network,4,2,4
phonetics,4,0,2
operate floor cleaning equipment,1,3,0
use signalling equipment,1,7,2
food plant design,8,0,1
operational tactics for emergency responses,0,1,4
take affidavits,2,1,2
differentiate types of packages,1,1,1
assist in general veterinary medical procedures,8,3,1
monitor lift shaft construction,5,1,6
design computer network,10,2,2
bend wire,3,1,0
supervise physiotherapist assistants,0,1,8
prepare ready-made dishes,1,3,3
orchestrate music,7,3,1
recognise abnormalities on board,1,2,0
scientific research methodology,7,1,3
maintain internal communication systems,8,4,0
discharge of collected waste,1,3,0
cognitive behavioural therapy,0,3,2
employ pedagogic strategies to facilitate creative engagement,7,3,1
maintain agricultural machinery,3,4,0
strive to conserve the composition of water,1,0,3
pruning techniques,8,0,2
present reports,7,1,3
show empathy,2,1,2
professional documentation in health care,0,1,2
manage ship emergency plans,3,4,2
maintain vehicle delivery documentation,6,0,1
direct airport subcontractors,1,5,3
maintain records related to vehicle operation,1,1,1
observe matter,3,2,1
manage animal adoption,8,3,3
computational linguistics,10,4,0
customs regulations for passengers,1,1,3
remove paint,5,2,0
promote foot health,0,1,2
provide health education,0,1,0
undertake healthcare examination,0,1,1
repair heat sealing machinery,5,0,2
control train arrivals,1,1,4
mark a metal workpiece using punch,5,4,0
design metal components,5,4,0
present during live broadcasts,4,5,2
fire safety regulations,1,7,0
astrology,6,4,2
ensure safety of exhibition,4,6,1
help set rehearsal schedule,4,3,0
manage resources for educational purposes,7,2,1
identify GIS issues,3,5,0
triage clients,0,1,8
install construction profiles,5,1,2
lead military troops,1,7,3
dip tank parts,5,0,4
SA8000,1,1,7
monitor biomedical equipment stock,0,1,2
set auction listing agreement,6,5,1
types of sugars,1,0,3
observe glass under heat,5,0,5
monitor therapeutic progress,0,3,1
legal department processes,2,1,2
assembling processes and techniques for goodyear footwear construction,9,3,2
use lift bags,5,1,1
test electronic units,3,1,0
solar energy,3,0,2
supervise daily library operations,7,0,0
install fire sprinklers,5,1,0
interview bank loanees,2,4,3
psychiatric diagnostics,0,3,0
provide early intervention therapy to infants,0,1,6
legal requirements of ICT products,10,2,1
flavour tobacco leaves,1,0,2
monitor livestock,8,3,3
create risk reports,2,4,3
government social security programmes,2,4,0
develop agricultural policies,3,4,2
install electrical household appliances,5,1,0
weigh parts of animal carcasses,1,0,4
identify nutritional properties of food,1,3,3
greenhouse types,8,0,1
inspect printing output,5,3,2
local geography,7,3,2
petroleum coking techniques,3,5,0
tend chain making machine,5,4,2
provide animal training,8,3,2
musical instruments,4,2,0
provide first aid,1,7,0
maintain pharmaceutical records,0,1,0
organise operations of residential care services,0,0,2
history of musical instruments,5,2,3
tend bakery ovens,1,0,0
receive key information about projects,4,6,0
position tobacco products in machines,1,0,2
operate ship propulsion system,3,4,2
traffic engineering,3,5,2
evaluate writings in response to feedback,4,5,2
buy new library items,7,0,0
provide a psychotherapeutic environment,0,3,1
food storage,1,0,4
education law,7,4,1
make decisions regarding the animal's welfare,8,3,1
ordain religious officials,2,0,4
order products,6,0,0
prepare promotional materials on nutritition,0,1,7
supervise costume workers,4,3,3
roasting coffee,1,0,1
post-process of fish,6,0,8
remove photographic film from camera,4,5,1
prepare printing form,5,3,2
handle mining plant waste,5,0,2
assist missionary work,2,0,4
verify lenses compliance,3,3,2
psychosomatics,0,3,1
advise customers on body adornment,6,4,0
ICT quality policy,10,2,0
follow directions of on-site director,4,5,2
specialised astrology software,6,4,2
wash vehicles,1,3,0
assess felled timber volume,3,0,3
support social service users' positiveness,0,0,3
extract products from coquilles,5,0,6
manage capsule rings,5,0,8
maintain plans of a mining site,3,5,0
install roof windows,5,1,4
perform scientific experiments in space,3,5,3
operate metal fabricating machines,5,4,0
handle shipment risks,1,2,1
babysitting,1,3,0
organic chemistry,0,1,0
manufacturing of taps and valves,3,1,1
make decisions regarding plant propagation,8,0,3
comply with the principles of self-defence,1,7,0
develop artistic research framework,4,6,0
architectural design,3,4,3
supply chain principles,3,0,3
tend paint mixer,5,0,4
plan logging operations,5,3,1
conduct performance measurement,6,2,0
follow dentists' instructions,0,1,0
determine colour shades,5,3,2
handle glassware,1,3,1
operate manual planer,5,2,1
design press kit for media,2,3,4
below-the-line technique,2,2,1
publicity code,4,4,5
ensure implementation of safe driving practices,1,1,1
provide radio services in emergencies,1,2,0
negotiate publishing rights,4,3,2
collect fish samples for diagnosis,8,4,1
mechanics of vessels,3,4,2
business knowledge,2,0,5
record court procedures,4,5,2
manage the operation of propulsion plant machinery,3,4,2
perform financial analysis on price strategies,2,3,4
basic chemicals,3,2,0
manage cleaning activities,2,3,0
assist in clinical trials,3,2,2
manage aftersales processes to comply with business standards,6,3,3
repair leather goods,9,1,0
social pedagogy,0,0,1
manage licensed animal medications,8,3,2
operate production drilling machine,5,0,2
oversee the presentation of vehicles in dealership,6,3,5
design transportation systems,3,5,2
counsel students,7,4,0
perform physical stress tests on models,3,4,1
split animal carcasses,1,0,4
design circuits using CAD,10,3,0
develop efficiency plans for logistics operations,3,5,2
install deicing boot,3,1,2
natural food resources,7,2,0
manage buildings' damp problems,5,1,2
define costume fabrication methods,4,1,0
provide information on chiropractic treatment outcomes,0,1,8
security in industrial buildings,1,7,0
evaluate animal pregnancy,8,3,1
store spent acids,5,0,4
prioritise emergencies,0,1,4
tend water jet cutter machine,5,4,0
conduct specialised orthoptic tests,0,1,0
operate carpet centrifugal machine,1,3,0
manage website,2,2,0
focus on service,4,4,0
characteristics of wheel rail interface,1,1,4
inspect staff,0,1,2
wildlife projects,3,5,2
prepare compliance documents,3,1,1
compute irrigation pressure,3,0,0
office furniture products,6,2,1
remove excess glue,5,3,0
newborn care,0,1,0
set up sound reinforcement system,4,1,3
record treated patient's information,0,3,0
geographic areas,1,5,0
synthesise clothing with accessories,4,3,3
ventilation systems,3,4,2
sophrology,0,3,2
create AutoCAD drawings,3,0,1
identify wood warp,5,1,2
prepare meat for sale,6,0,8
Nexpose,10,2,0
perform food safety checks,1,4,2
moderate a debate,4,5,0
liaise with property owners,2,4,0
monitor ingredient storage,1,4,1
support children who have experienced trauma,0,0,1
check architectural drawings on site,3,4,3
operate patternmaking machinery,5,0,1
morality,7,3,2
prepare surveying report,3,5,3
prepare well data sheets,3,5,0
apply plastic resin layers,5,0,3
tend cylindrical grinder,5,4,1
record audio materials,4,3,4
move animals,8,1,0
track shipments,6,2,3
draw up choreography,4,2,2
support fishery training procedures,1,2,0
enforce regulations of selling alcoholic beverages to minors,6,0,0
operate follow-me vehicles,1,5,3
prepare exhibition programs,4,6,1
manage the handling of promotional materials,2,2,2
nuclear legislation,3,5,1
stir herbs in vats,1,0,1
use chimney sweeping equipment,3,0,2
use computer-aided translation,10,4,0
deal with patients' anxiety,0,1,0
tend twisting machines,9,2,2
demonstrate functionality of software products,6,0,0
assembling processes and techniques for california footwear construction,9,3,2
perform granulation equipment transfer,1,1,6
tune instruments on stage,4,1,3
follow up online user requests,2,2,1
create V-shape wrap,5,0,6
instructions of aerodrome operations,1,5,3
interpret technical requirements,3,4,1
organise storage facilities,6,1,1
geriatrics,0,1,6
maintain musical instruments,5,2,3
data models,10,0,2
attend meetings,2,0,2
license photo usage,4,5,1
perform media outlets research,2,2,2
perform forensic preservations of digital devices,10,2,0
promote good habits to avoid communication disorders,0,1,5
advise on career,2,1,1
assess quality of services,3,0,3
advise on manufacturing problems,3,4,0
report on customers' complaints related to toilet facilities,1,3,0
scoop medicinal preparations,5,0,8
teach linguistics,7,1,1
load equipment,8,4,0
video-games functionalities,6,0,0
prepare sophrology session,0,1,1
wet tumbling,5,2,2
conduct nutrition research,0,1,7
set end stops,5,0,7
provide information,2,3,0
research new ideas,4,1,0
meet commitments in hospitality,1,3,1
comply with regulations related to export in different countries,1,2,1
ensure lawful business operations,2,3,5
assist passengers with timetable information,1,1,3
assemble the rehearsal set,4,1,1
operate the sound in the rehearsal studio,4,6,0
clean ride units,1,8,0
types of waxes,5,0,6
practice vigilance,1,7,0
train artists in flying,4,2,2
centre lenses,3,3,2
negotiate service with providers,2,3,4
carry out veterinary professional communication to the public,8,3,2
contribute to the advancements in specialised nursing care,0,1,0
teach biology,7,3,2
operate traditional water depth measurement equipment,1,2,0
perform security vulnerability assessments,10,2,0
types of ceiling,5,1,2
implement relevant technical skills to perform at the highest level in sport,4,4,2
check methods,1,7,0
prepare tax returns forms,2,4,1
call quality assurance management,2,3,0
receive actors' resumes,2,2,2
operate telehandler,4,1,2
monitor tamping car,5,1,3
observe freight shipment loaders,1,2,1
advise customers on sewing patterns,6,0,2
sew textile-based articles,9,0,1
monitor mixing in a live situation,4,1,3
design user interface,10,3,1
disaggregate the production plan,3,0,3
tend wine manufacturing machines,1,0,1
seek innovation in current practices,9,1,2
use dictionaries,10,4,0
provide health psychological analysis,0,3,1
liaise with union officials,2,1,1
apply conceptual thinking,0,3,1
supervise the maintenance of military equipment,1,7,3
causes of damage to paved surfaces in airports,1,5,3
teach driving theory,1,1,1
extraction process of starch from corn,1,0,3
manage pawnshop inventory,2,4,3
configuration of the tote room hardware,4,4,3
radars,3,3,1
assist the veterinary surgeon as a scrub nurse,8,3,1
guarantee customer satisfaction,6,1,0
stimulate creative processes,2,3,0
provide genetic counselling,0,1,2
inspect freight,1,2,1
manage membership database,2,3,0
defense system,3,4,0
perform electromagnetic geophysical measurements,1,5,0
manage stage effects,4,1,2
teach train driving principles,1,1,4
compile data for navigation publications,1,5,2
manage safety standards for maritime water transport,1,2,1
take action on food safety violations,1,4,4
promote human rights,0,3,2
work trains,5,1,3
carry out pressure washing activities,1,3,0
electromagnetism,3,3,1
handle animals for semen collection,8,3,1
liaise with specialist contractors for well operations,3,5,0
process refunds,6,1,1
align components,3,1,0
winterise fats,1,0,3
monitor grounds,8,2,4
apply decision making within social work,0,0,0
quality standards applicable to aquaculture products,8,4,2
execute administration,6,3,3
develop calibration procedures,3,1,2
simplify communication in maritime management,1,2,1
monitor production developments,3,4,0
screw machine parts,5,4,2
promote yourself,4,1,2
negotiate loan agreements,2,4,0
apply bluing techniques,6,4,0
road traffic laws,1,1,1
dispose food waste,1,0,4
execute integration testing,10,0,1
market pricing,2,2,1
check stories,4,5,3
detain offenders,1,7,0
use thermal management,3,5,2
manage location logistics,4,3,3
document safety actions,4,1,2
recognise fake goods,5,2,2
use communication devices,8,4,0
finish costumes,4,1,2
conduct airport security screening,1,7,0
design microelectromechanical systems,3,3,1
install recycling containers,3,5,1
assemble cocktail garnishes,1,3,1
labour legislation,4,6,0
supervise religious organisations,2,0,4
assess mortgage risk,2,4,3
provide investment advice,2,4,0
advise customers on maintenance of parquet floors,5,1,4
test lift operation,5,1,6
telecommunication industry,6,0,0
draw up costume patterns,4,1,0
building codes,2,4,0
respond to changing situations in fishery,1,2,0
perform dating coaching,6,4,2
stain wood,5,2,3
develop electronic test procedures,3,3,3
business loans,2,4,3
immunotherapy,0,1,3
ICT hardware specifications,6,0,0
mill operations,1,0,0
inspect rail from track inspection vehicle,5,1,3
hardware platforms,10,3,0
toys and games categories,6,0,5
process collected survey data,3,5,3
glassworking,5,2,0
cure tobacco leaves,1,0,2
grade patterns for wearing apparel,9,0,0
sell products,2,3,0
monitor national economy,2,4,3
inspect clocks,6,4,1
restore old guns,6,4,0
reiki,0,1,1
read ship operational data,1,2,1
use technical documentation,3,1,2
MATLAB,10,3,0
develop educational resources,4,6,0
isometric perspective,3,0,0
supervise deposit slips,6,3,2
maintain imaging equipment,0,1,3
analyse library users' queries,7,0,0
repair door panels,6,4,4
conduct continuing professional development workshops,0,1,0
baby care,1,3,0
advise on irrigation projects,3,4,2
monitor chipper machine,5,3,1
install embossing plates,5,3,0
support veterinary diagnostic imaging procedures,8,3,1
apply pre-teaching methods,7,4,0
clean confined spaces,1,3,0
types of brushes,5,2,1
decision support systems,10,2,3
manage technical security systems,1,7,2
implement workplace drug policies,1,2,2
develop organisational information goals,10,0,2
keep competences about irrigation systems up-to-date,3,0,0
advise patients on vision improvement conditions,0,1,0
present legislation proposition,2,0,2
plant vine yards,8,0,3
train staff in safety procedures,3,1,2
plan procurement of meteorological equipment,1,5,2
follow hygienic procedures during food processing,1,0,3
deliver online training,8,4,1
identify external risks to bridge integrity,5,1,3
provide specialised instruction for special needs students,7,4,2
develop manufacturing recipes,9,1,0
write gemstone grading report,5,2,2
phytosanitary measures,8,0,0
report harvested fish production,8,4,0
install automatically opening door,5,1,2
collect geological data,3,5,3
liaise with suppliers of sporting equipment,6,3,1
model mineral deposits,3,5,0
manage personal professional development,4,1,2
coat food products,1,0,0
operate wood board press,5,3,1
lepidoptery,8,4,1
cast jewellery metal,5,2,2
collect licence fees,2,1,3
interpret extraction data,3,5,0
hair,6,4,0
design musical events involving patients,0,3,0
provide support in vessel machinery systems,1,2,2
manage well interaction,3,5,0
perform fish grading operations,8,4,0
manage timber stocks,3,5,2
assist in ship maintenance,1,2,0
set colour profiles,5,3,2
manage sales channels,2,4,2
locking mechanisms,1,3,0
assess environmental parameters at the workplace for food products,1,4,3
apply military aviation regulations,1,5,0
cut wallpaper to size,5,1,2
prevent damage to electrical devices on board,1,2,2
monitor bushings,5,0,1
connect vehicle maintenance and operations departments,1,1,2
handle larval weaning process in nursery stage,8,4,3
drain hazardous liquids,3,5,1
coordinate communication during mine emergencies,1,2,0
programmable logic controller,3,3,0
organise operations within the fuel station,6,3,0
operate biogas meter,3,0,1
dentistry science,0,1,0
test optical components,3,3,2
manage diversification of maritime operations,1,2,1
pour concrete,5,1,5
attach protective attachments to timber piles,5,1,3
production scale fermentation,1,4,3
create digital images,4,6,0
dock operations,1,7,1
fossil fuels,3,0,1
analyse test data,3,3,3
control financial resources,2,3,5
create import-export commercial documentation,6,2,0
anti-dumping law,2,1,2
maintain financial records,6,2,2
maintain the farm,8,1,2
fortune-telling techniques,6,4,2
perform debt investigation,2,4,3
create animal structure,8,3,4
variety of cheese,1,0,3
check price accuracy on the shelf,6,3,2
inform visitors at tour sites,6,4,3
coordinate performance tours,4,2,0
radiotherapy,0,1,6
electrotherapy,0,1,1
alloys of precious metals,5,0,6
use photographic equipment,4,5,1
respond to healthcare users' extreme emotions,0,3,1
grow cultures used in monitoring experiments,8,4,2
coordinate the running of a performance,4,1,2
apply restoration techniques,5,2,3
pose in front of a camera,4,3,1
maintain contractual information,2,3,4
perform coffee tastings,1,0,1
provide assistance to a variety of airport users,1,5,3
model electromechanical systems,3,3,1
glassware products,6,2,1
draw conclusions from market research results,2,2,2
report test findings,3,5,2
install transport vehicle interior components,5,2,0
analyse education system,7,4,1
apply machine cutting techniques for footwear and leather goods,9,3,2
analyse goal progress,2,0,5
ensure material compliance,3,3,1
verify feasibility,4,1,0
fill out forms,2,1,0
regulate cutting speed,5,0,7
strive for nutritional improvement of food manufacturing,1,4,1
statistical process control,5,4,1
prepare timelines for pipeline development projects,3,0,0
pollution legislation,3,5,1
maintain responsive design,10,1,1
market participants,2,2,1
negotiate tourism experience purchases,2,3,4
position outriggers,5,1,4
evaluate retail food inspection findings,1,4,4
implement cost-effective cargo handling strategies on ships,1,2,1
COBOL,10,3,0
SQL Server Integration Services,10,0,0
perform ritual cleaning activities,2,0,4
biological haematology,0,1,6
create advocacy material,2,3,1
perform electrolysis,6,4,0
develop mobility programmes,1,1,2
therapy in health care,0,3,1
law of obligation,2,1,1
principles of paramedic practice,0,1,4
tumbling machine parts,5,4,0
align content with form,5,3,2
interrogate individuals,1,7,0
select photos,4,5,1
musical notation,7,3,1
fermentation processes of food,1,4,3
create cultural venue outreach policies,2,0,1
conduct on board safety inspections,1,2,0
Code of Conduct for Responsible Fisheries,1,2,0
biology,3,2,2
redistribute wagered money,4,4,0
test improved aeronautical information management systems,1,5,2
liaise with buyers to plan products for the store,6,3,2
select artistic materials to create artworks,4,6,2
teamwork principles,7,2,2
blueprints,3,4,0
crowdsourcing strategy,10,2,1
interpreting modes,4,0,2
casting processes,5,0,1
attend vehicle auctions,6,0,1
handle sensitive products,6,3,1
prepare for auction,6,5,1
provide feedback to teachers,7,4,1
electrical equipment components,3,1,0
assemble fossils,3,2,1
follow health and safety precautions in social care practices,0,0,0
ensure quality assurance for pharmaceutical products,0,1,0
biomedical scientists' role in health care system,0,1,2
proxy servers,10,2,2
prepare resin bath,5,0,3
genetic selection programme,8,4,3
brewhouse processes,1,0,1
translate requirement concepts into content,2,2,1
escort students on a field trip,7,4,2
process from cacao to chocolate,1,0,0
perform cleaning activities in an outdoor environment,1,3,0
set up lathe compound,5,4,3
excavate fossils,3,2,1
collect broodstock,8,4,3
provide psychological support to patients,0,1,3
prevent technical problems with lighting equipment,4,1,1
use hand tools to make tobacco products,1,0,2
analyse cultural trends,2,2,2
exude enthusiasm during the action sessions,6,5,0
ensure quality of legislation,4,0,0
create insurance policies,2,4,0
improve chemical processes,3,2,0
apply art therapy interventions,0,3,0
types of carpet,5,1,2
finish barrels,5,2,1
advise customers on usage of vehicles,6,0,1
communication,2,1,1
facilitate the healing process related to sexual assault,0,3,2
disseminate flight information,1,5,2
develop financial products,2,4,0
provide an enriching environment for animals,8,3,0
functionalities of machinery,9,1,1
react calmly in stressful situations,1,7,0
document interviews,4,5,2
publish academic research,7,1,3
psychopharmacology,0,3,0
resuscitation,0,1,4
tend weaving machines,9,2,1
create jewellery,5,2,2
select livestock,8,3,3
assess project resource needs,3,5,2
transpose designs to engravings,5,2,2
analyse own performance,4,2,3
ICT software specifications,4,5,3
cost metrics,1,2,1
select vocalists,4,2,0
international commercial transactions rules,6,2,0
coordinate government activities in foreign institutions,2,0,2
apply food technology principles,1,4,2
perform child welfare investigations,0,0,3
use 3D scanners for clothing,9,0,0
maintain register of shareholders,2,4,1
assist bottling,1,0,1
install vehicle accessories,5,2,0
organise irrigation,3,0,0
help customers with hair problems,6,4,0
prepare dietary meals,1,3,3
operate road roller,5,1,3
blend food ingredients,1,0,4
prepare surface for enamelling,5,2,2
pour molten metal into moulds,5,2,2
separate nitroglycerin from acids,5,0,4
integrate content into output media,10,1,1
assist social service users in formulating complaints,0,0,3
ensure correct gas pressure,3,0,0
nail floor boards,5,1,4
ensure safety in the production area,1,0,1
IBM Informix,10,0,0
manufacturing of office equipment,5,4,3
industrial engineering,3,4,1
perform educational testing,0,0,1
business management principles,2,3,5
organise job search workshops,7,4,1
identify financial resources,2,3,3
maintain inventory of vehicle cleaning supplies,6,4,4
provide financial product information,2,4,2
work in cold environments,1,0,4
behavioural neurology,0,1,5
types of wallpaper,5,1,2
teach primary education class content,7,4,2
install spindles,5,1,2
estimate amount of paint,6,0,0
set quality assurance objectives,3,1,2
evolution in delivery practices in practiced dance tradition,7,2,3
verify engraving accuracy,5,2,2
medical devices,3,4,2
tend drying equipment,1,0,0
optical components,3,3,2
perform clerical duties,2,4,1
adjust bag inside tyres,5,0,0
conduct ecological surveys,8,2,1
present arguments persuasively,2,1,2
implement ICT coding conventions,10,2,3
prevent damage to utility infrastructure,5,1,3
"health, safety and hygiene legislation",1,0,3
assist in transportation of animals,8,3,3
identify emerging issues in humanitarian area,2,0,0
advise museum director,4,6,1
ensure safety of mobile electrical systems,4,1,2
repossess goods,2,1,2
check paper quality,5,3,1
nuclear medicine,0,1,6
plant harvest methods,8,0,1
prepare construction documents,3,4,3
work as a team,8,4,2
follow ethical code of conduct of journalists,4,5,2
communicate with nursing staff,0,1,4
adjust foil printing machine,5,3,0
collect mapping data,3,5,3
level crossing regulations,1,1,4
ensure aircraft compliance with regulation,3,4,0
aid archive users with their enquiries,7,0,1
laboratory-based sciences,7,3,4
operate gas turbines,3,0,1
recommend pet food selection,6,0,0
oversee the use of the land within the park,8,2,4
airport environmental regulations,2,3,1
analyse transmitted communications,1,5,0
define set painting methods,4,6,2
attend to detail in casting processes,5,0,6
communication sciences,7,1,0
manage gambling hospitality,4,4,1
repair small damages to windshields,5,0,5
gather experimental data,3,2,1
compile airport certification manuals,1,5,3
develop programming schedule,4,3,4
coat seams with hot pitch,5,3,3
operate specialised equipment in emergency,0,1,4
electrical stimulation in acupuncture,0,1,1
prepare rubber sheets,5,0,4
train staff in beer knowledge,1,0,1
route correspondence to business departments,2,1,0
manage development of promotional material,2,2,2
advise architects,3,5,3
use séance tools,4,4,2
minerals prices,5,2,2
apply a protective layer,5,2,3
ensure compliance with airport security measures,3,1,2
operate paper drying cylinders,5,3,1
manage inspections of equipment,1,3,2
provide information on facility's services,1,3,2
operate photoreactors,8,4,3
dosimetric planning,0,1,3
advise on foreign affairs policies,2,0,2
implement front-end website design,10,3,1
ink printing plates,5,3,2
metal joining technologies,5,4,0
provide domiciliary eyecare,0,1,0
repair damaged paper parts,5,3,0
manage securities trading,2,4,2
teach secondary education class content,7,4,2
history,7,3,2
select tactics for a football match,7,3,3
operate oxygen cutting torch,5,1,3
